Resources Type ,Name of Prevention Service,Center Name,Address,Contact Person,Contact Phone Number,Contact Email,Type of Service Provided,Website (if available),Zip Codes Served,
Home Visiting,Nurse-Family Partnership (NFP),Women in Need of Generous Support (WiNGS),"Dallas 2603 Inwood Rd Dallas, TX 75235",Alison Collazo,214-584-2326,acollazo@wingsdallas.org,support first-time parents,http://www.nursefamilypartnership.org/locations/Texas/NFP-of-Dallas,,
Home Visiting,Nurse-Family Partnership (NFP),Parkland Hospital    ,"3310 Live Oak Street Dallas, TX 75204",,214-266-1140,,support first-time parents,http://www.nursefamilypartnership.org/locations/Texas/Parkland-Health-and-Hospital-System-NFP ,,
Home Visiting,Early Head Start (EHS),Head Start of Greater Dallas Inc.-Aisha's Learning Center ,2750 E Ledbetter Dr 75216-7514,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Head Start of Greater Dallas Inc.-American Care Academy,530 S R L Thornton Fwy 75203-3011,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- Bock Center,407 W 10th St 75208-4620,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- Bryan's House,802 S Beckley Ave 75203-2806,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- Child Care Group @ Dallas Bethlehem Center,4410 Leland Ave 75215-4117,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- ChildCare Network #170,2020 S MacArthur Blvd 75060-6601,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- ChildCare Network #171,703 S Cedar Ridge Dr 75137-2203,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- ChildCare Network #194,6161 Haltom Rd 76137-2171,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- ChildCare Network #195,6637 Oaklawn Dr 76148-2334,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- ChildCare Network #196,3574 S Carrier Pkwy 75052-6462,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),ChildCareGrouop- ChildCare Network #198,195 N Clark Rd 75104-2014,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Lumin Education- Combination Option Classrooms,9891 Webb Chapel Rd 75220-3452,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Headstart of Greater Dallas Inc.-Early Head Start Jeanie Borlaug Laube,938 South Carroll Ave 75223,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Headstart of Greater Dallas Inc.-Early Head Start Jubilee Home Base,4603 Gurley Ave 75210-2803,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Headstart of Greater Dallas Inc.-Early Head Start Garland,4580 W Buckingham Rd 75042-4514,Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Headstart of Greater Dallas Inc.-Early Head Start/Head Start Lakewest,"3737 Goldman St Suite 100, Building B 75212-2471",Mary Lynn,214-217-3176,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Headstart of Greater Dallas Inc.-Early Head Start/Head Start Margret H. Cone,2919 Troy St 75210-1364,Mary Lynn,214-217-3177,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Lumin Education- Lumin Bachman Lake Community School (Main),3108 Valley Meadow Dr Apt E110 75220-2833,Mary Lynn,214-217-3178,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Early Head Start (EHS),Headstart of Greater Dallas Inc.- Vogel Alcove Child Care,PO Box 150948 75315-0948,Mary Lynn,214-217-3179,mlynn@hsgd.org,education; health; nutrition; family advocacy; special services,http://www.hsgd.org/,,
Home Visiting,Healthy Start,Parkland Hospital System,"4917 Harry Hines Blvd, Dallas, TX 75235",Kelly Bellinger,(214) 590-1670,,,,,
Home Visiting,Home Instruction for Parents of Preschool Youngsters (HIPPY),Dallas ISD,"3313 S Beckley Ave Dallas, TX 75224",Adriana Trevino,214.932.5109,adtrevino@dallasisd.org,Parental Empowerment; School Readiness Program ,http://www.unt.edu/hippy/,,
Home Visiting,Home Instruction for Parents of Preschool Youngsters (HIPPY),Irving ISD,"820 O'Connor Rd, Irving, TX 75601",,,,,,,
Home Visiting,Home Instruction for Parents of Preschool Youngsters (HIPPY),Richardson ISD,"Dobie Elementary, 14040 Rolling Hills Lane, Richardson, TX 75240",Maria Loera,469-593-4015,,,,,
Home Visiting,Parents as Teachers (PAT),Dallas ISD,"5952 Royal Ln #261, Dallas, TX 75230",Jennifer Lucy,(214) 363-8661,txpat@txpat.org,Parent-Child Education ,http://www.txpat.org/,,
Home Visiting,Parents as Teachers (PAT),Lumin Education,"924 Wayne St, Dallas, TX 75223",,(214) 824-8950,,Parent educators act as guides and a resource for parents while at the same time making sure each child is making progress developmentally,https://lumineducation.org/,,
Home Visiting,Parents as Teachers (PAT),ChildCare Group,"1420 W. Mockingbird Lane, Suite 300, Dallas, Texas 75247",,(214) 905-3521,,,,,
Home Visiting,Parents as Teachers (PAT),Family Compass,"4210 Junius Street, Dallas, Texas 75246",,(214) 370-9810,,,,,
