,,"Demographic Information, Households and Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,Children in Poverty < 18,,,,,,,,,,,,,,,,,,,Teen Pregnancy,,,Substance Abuse Treatment,,,,,Child Abuse and Neglect Related Fatalities (2010-2014),,,Substantiated < 18 (2010-2014),,,Rankings - Larger Numbers Indicate Higher Risk (1=lowest risk),,,,,,,
ZCTA,County Name,Corresponding Counties,Total Population (2010-2014),2010 Child Population (under 18),2011 Child Population (under 18),2012 Child Population (under 18),2013 Child Population (under 18),2014 Child Population (under 18),Child Population (under 18) 5yr,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Family Households 5yr,Female-headed Household with Child 5yr,Total Estimated Child Population < 18yrs,Children in Poverty (under 18) 5yr,Average of Child Poverty (under 18) 5yr,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Teen Birth and Married ,No Teen Birth and Married,Teen Birth and Unmarried (15-19yrs),No Teen Birth and Unmarried,Number of Teen Births (15-19yrs); 2008-2012 American Community Survey,Total Female Population (15-19yrs); 2008-2012 American Community Survey,Average Teen Birth(15-19yrs); 2008-2012 American Community Survey,Unique Clients Admitted for Substance Abuse Treatment (*=suppressed),Number of state funded substance abuse service types utilized by individuals,Drug- Related Offenses,Domestic Violence Offenses,Average Substance Abuse Treatment; 2008-2012 American Community Survey,Child Abuse and Neglect Fatalities 5yr,Aggregated Child Population Estimate (2010 - 2014),Average Child Abuse and Neglect Related Fatalities < 18yrs,Total Number of Substantiated Cases (under 18) ,2010 - 2014 Aggregated Child Population Estimate (under 18) ,Average Number of Substantiated Cases (under 18),Poverty Ranking for Children (under 18) 5yr,Teen Births (15-19) 5yr,Substance Abuse Rating,Child Abuse and Neglect Fatalities 5yr,Substantiated Abuse Rating  (under 18),Mean of Overall Risk Rankings,Overall Risk Ranking
75001,Dallas County,Dallas County,13766,1781,2219,2254,2055,1888,2039,9542,6703,1728,33,960,18,0,100,3672,2751,20,47,38,0,693,123,7379,355,1888,527,27.91%,114,0,41,15,32,9,171,0,93,42,0,10,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,N/A,N/A,0.00%,0,2039,0.00%,70,2039,3.43%,1200,N/A,1,1,657,464.75,525
75002,Collin County,Collin County,66679,20011,20254,20201,20986,20174,20325,57469,42726,7657,189,5224,124,101,1448,8431,5915,184,0,72,0,1552,708,21340,1496,20174,2233,11.07%,226,103,487,262,47,136,260,104,367,117,0,124,0,22,0,2496,0,2518,0.00%,*,3,N/A,N/A,11.54%,0,20325,0.00%,509,20325,2.50%,502,1,824,1,442,354,350
75006,Dallas County,Dallas County,48583,12135,12010,12057,12376,12426,12201,25046,17616,3341,133,3546,0,80,330,22544,17971,156,214,49,0,3769,385,17075,1257,12426,3319,26.71%,450,61,653,262,119,126,433,85,679,246,101,104,N/A,N/A,N/A,N/A,0,N/A,N/A,10,5,N/A,N/A,19.23%,0,12201,0.00%,548,12201,4.49%,1145,N/A,1090,1,948,796,1124
75007,Dallas County,Dallas County;Denton County,52541,13347,12748,12947,12906,12961,12982,39115,25874,4299,183,7167,21,51,1520,12290,9924,81,319,63,0,1133,770,18249,1396,12961,1452,11.20%,210,77,249,182,11,58,216,19,200,115,52,63,N/A,N/A,N/A,N/A,0,N/A,N/A,12,5,N/A,N/A,19.23%,0,12982,0.00%,339,12982,2.61%,510,N/A,1090,1,469,517.5,629
75007,Denton County,Dallas County;Denton County,52541,13347,12748,12947,12906,12961,12982,39115,25874,4299,183,7167,21,51,1520,12290,9924,81,319,63,0,1133,770,18249,1396,12961,1452,11.20%,210,77,249,182,11,58,216,19,200,115,52,63,N/A,N/A,N/A,N/A,0,N/A,N/A,12,5,N/A,N/A,19.23%,0,12982,0.00%,339,12982,2.61%,510,N/A,1090,1,469,517.5,629
75009,Collin County,Collin County;Denton County,9196,2713,2488,2494,2644,2487,2565,7271,6861,168,137,14,0,0,91,1704,880,0,0,0,0,657,167,2924,142,2487,456,18.34%,29,33,73,13,42,53,59,54,39,47,0,14,0,13,0,210,21,223,0.00%,*,1,N/A,N/A,3.85%,1,2565,0.04%,97,2565,3.78%,799,1,467,1736,756,751.8,1058
75009,Denton County,Collin County;Denton County,9196,2713,2488,2494,2644,2487,2565,7271,6861,168,137,14,0,0,91,1704,880,0,0,0,0,657,167,2924,142,2487,456,18.34%,29,33,73,13,42,53,59,54,39,47,0,14,0,13,0,210,21,223,0.00%,*,1,N/A,N/A,3.85%,1,2565,0.04%,97,2565,3.78%,799,1,467,1736,756,751.8,1058
75010,Denton County,Denton County,23752,5728,6078,5833,6035,5652,5865,20723,10059,3635,122,6308,51,0,548,3312,2226,212,0,53,0,601,220,8681,553,5652,483,8.55%,63,0,23,0,0,0,160,0,153,84,0,0,0,0,0,860,0,860,0.00%,*,4,N/A,N/A,15.38%,2,5865,0.03%,97,5865,1.65%,401,1,952,1660,285,659.8,899
75013,Collin County,Collin County,33889,N/A,9469,9875,10458,10926,10182,29248,21278,863,276,5745,16,177,893,2140,1842,48,23,42,0,51,134,10314,442,10926,148,1.35%,0,0,8,19,0,0,37,7,32,16,15,14,0,34,0,1033,4,1067,0.00%,*,1,N/A,N/A,3.85%,0,10182,0.00%,93,10182,0.91%,169,1,467,1,186,164.8,156
75019,Dallas County,Dallas County;Denton County,40021,11737,11965,11727,11823,11488,11748,35126,25061,1745,144,7353,0,36,787,4425,3598,24,0,32,0,663,108,14056,991,11488,598,5.21%,75,42,81,42,10,32,64,18,52,54,63,65,N/A,N/A,N/A,N/A,173,N/A,N/A,*,1,N/A,N/A,3.85%,0,11748,0.00%,132,11748,1.12%,280,N/A,467,1,202,237.5,211
75019,Denton County,Dallas County;Denton County,40021,11737,11965,11727,11823,11488,11748,35126,25061,1745,144,7353,0,36,787,4425,3598,24,0,32,0,663,108,14056,991,11488,598,5.21%,75,42,81,42,10,32,64,18,52,54,63,65,N/A,N/A,N/A,N/A,173,N/A,N/A,*,1,N/A,N/A,3.85%,0,11748,0.00%,132,11748,1.12%,280,N/A,467,1,202,237.5,211
75020,Grayson County,Grayson County,22286,4957,5213,5219,4917,5046,5070,20499,17912,1560,290,87,51,154,445,1844,1085,13,0,0,0,590,156,8835,762,5046,1363,27.01%,233,32,153,193,33,171,122,87,171,69,37,62,0,0,22,668,1,690,3.19%,50,8,N/A,N/A,30.77%,3,5070,0.06%,457,5070,9.01%,1159,1044,1409,1807,1652,1414.2,1815
75021,Grayson County,Grayson County,8264,1808,1747,1808,2099,2153,1923,7773,6742,243,292,141,0,0,355,533,408,0,0,0,0,100,25,3232,238,2153,583,27.08%,92,4,71,145,14,29,100,0,67,32,8,21,0,7,24,242,0,273,8.79%,16,5,N/A,N/A,19.23%,1,1923,0.05%,164,1923,8.53%,1164,1360,1090,1779,1624,1403.4,1804
75022,Denton County,Denton County;Tarrant County,23143,7822,8048,7711,7902,7602,7817,20704,17537,452,75,2309,0,5,326,2180,1766,35,9,0,0,11,359,7034,317,7602,371,4.88%,87,0,90,9,0,7,36,56,13,60,0,13,0,14,9,764,0,787,1.14%,*,1,N/A,N/A,3.85%,0,7817,0.00%,51,7817,0.65%,271,901,467,1,166,361.2,364
75022,Tarrant County,Denton County;Tarrant County,23143,7822,8048,7711,7902,7602,7817,20704,17537,452,75,2309,0,5,326,2180,1766,35,9,0,0,11,359,7034,317,7602,371,4.88%,87,0,90,9,0,7,36,56,13,60,0,13,0,14,9,764,0,787,1.14%,*,1,N/A,N/A,3.85%,0,7817,0.00%,51,7817,0.65%,271,901,467,1,166,361.2,364
75023,Collin County,Collin County,46431,10756,11574,11814,11163,10679,11197,39684,28794,3613,239,5689,15,62,1272,7049,6232,31,0,22,0,611,153,17762,1178,10679,1026,9.61%,281,30,173,126,13,0,54,43,190,53,7,56,0,0,116,1646,0,1762,6.58%,*,1,N/A,N/A,3.85%,0,11197,0.00%,462,11197,4.13%,434,1257,467,1,859,603.6,782
75024,Collin County,Collin County;Denton County,39839,9004,9267,10087,9996,9869,9645,36064,20298,2482,183,12319,31,73,678,2825,2313,0,13,15,0,343,141,15862,639,9869,315,3.19%,43,0,24,51,0,14,69,14,39,42,9,10,0,31,0,1133,0,1164,0.00%,*,1,N/A,N/A,3.85%,0,9645,0.00%,100,9645,1.04%,214,1,467,1,195,175.6,164
75024,Denton County,Collin County;Denton County,39839,9004,9267,10087,9996,9869,9645,36064,20298,2482,183,12319,31,73,678,2825,2313,0,13,15,0,343,141,15862,639,9869,315,3.19%,43,0,24,51,0,14,69,14,39,42,9,10,0,31,0,1133,0,1164,0.00%,*,1,N/A,N/A,3.85%,0,9645,0.00%,100,9645,1.04%,214,1,467,1,195,175.6,164
75025,Collin County,Collin County,52758,15041,14985,14678,14729,14592,14805,48690,29477,3705,100,14179,60,108,1061,3234,2491,17,70,82,0,409,165,18511,1058,14592,863,5.91%,112,67,128,38,28,72,104,28,126,99,6,55,0,0,0,1684,12,1684,0.00%,*,1,N/A,N/A,3.85%,0,14805,0.00%,181,14805,1.22%,306,1,467,1,212,197.4,171
75028,Denton County,Denton County;Tarrant County,44588,13318,13345,13418,13494,12942,13303,40198,34798,1681,233,2666,12,184,624,3555,2956,18,34,69,40,213,225,14402,1032,12942,371,2.87%,26,0,51,51,0,29,41,12,46,80,18,17,0,0,3,1915,215,1918,0.16%,15,7,N/A,N/A,26.92%,0,13303,0.00%,177,13303,1.33%,204,851,1308,1,219,516.6,625
75028,Tarrant County,Denton County;Tarrant County,44588,13318,13345,13418,13494,12942,13303,40198,34798,1681,233,2666,12,184,624,3555,2956,18,34,69,40,213,225,14402,1032,12942,371,2.87%,26,0,51,51,0,29,41,12,46,80,18,17,0,0,3,1915,215,1918,0.16%,15,7,N/A,N/A,26.92%,0,13303,0.00%,177,13303,1.33%,204,851,1308,1,219,516.6,625
75032,Rockwall County,Rockwall County,30494,8694,8652,8741,8542,8712,8668,24256,22094,1363,8,409,0,0,382,5709,5262,0,20,50,0,222,155,10115,421,8712,852,9.78%,48,0,164,118,5,86,40,3,267,0,109,12,N/A,N/A,N/A,N/A,10,N/A,N/A,*,3,N/A,N/A,11.54%,0,8668,0.00%,137,8668,1.58%,446,N/A,824,1,270,385.25,403
75034,Collin County,Collin County;Denton County,80917,24069,21984,23102,24724,26145,24005,65063,50924,5176,283,6842,7,131,1700,10427,8669,66,42,93,0,986,571,25647,1401,26145,1364,5.22%,149,58,202,77,31,10,182,119,374,99,8,55,0,7,11,1655,20,1673,0.66%,11,6,N/A,N/A,23.08%,0,24005,0.00%,389,24005,1.62%,281,868,1209,1,280,527.8,642
75034,Denton County,Collin County;Denton County,80917,24069,21984,23102,24724,26145,24005,65063,50924,5176,283,6842,7,131,1700,10427,8669,66,42,93,0,986,571,25647,1401,26145,1364,5.22%,149,58,202,77,31,10,182,119,374,99,8,55,0,7,11,1655,20,1673,0.66%,11,6,N/A,N/A,23.08%,0,24005,0.00%,389,24005,1.62%,281,868,1209,1,280,527.8,642
75035,Collin County,Collin County,53620,15871,15090,15897,16984,17593,16287,45017,32899,3893,88,5914,29,303,1891,6427,4841,20,15,52,0,869,630,16891,1294,17593,903,5.13%,157,53,56,81,109,16,169,7,133,68,16,38,0,42,0,1512,16,1554,0.00%,*,1,N/A,N/A,3.85%,2,16287,0.01%,331,16287,2.03%,278,1,467,1381,349,495.2,584
75038,Dallas County,Dallas County,29282,6538,5950,6609,6886,7479,6692,21705,6425,7457,18,7074,15,84,632,6456,4630,251,12,26,0,1353,184,12068,1207,7479,2000,26.74%,367,98,395,100,46,60,260,82,385,96,83,28,N/A,N/A,N/A,N/A,0,N/A,N/A,*,1,N/A,N/A,3.85%,0,6692,0.00%,260,6692,3.89%,1148,N/A,467,1,786,600.5,776
75039,Dallas County,Dallas County,13410,1266,1005,1266,1586,1981,1421,10621,5529,1161,65,3445,0,65,356,1576,1300,129,14,0,0,54,79,6855,275,1981,242,12.22%,53,0,0,0,0,0,0,0,173,16,0,0,N/A,N/A,N/A,N/A,3,N/A,N/A,0,N/A,N/A,N/A,N/A,0,1421,0.00%,27,1421,1.90%,548,N/A,N/A,1,323,290.6666667,261
75040,Dallas County,Dallas County,60638,17785,18471,17928,17574,17573,17866,33135,16119,6959,137,6642,51,64,3163,26657,7838,72,40,83,0,17098,1526,17899,1413,17573,3953,22.49%,544,182,569,355,119,198,602,114,731,262,76,201,N/A,N/A,N/A,N/A,0,N/A,N/A,*,2,N/A,N/A,7.69%,1,17866,0.01%,476,17866,2.66%,968,N/A,684,1381,478,877.75,1239
75041,Dallas County,Dallas County,32153,9666,8686,8788,9444,10171,9351,12962,8860,2011,64,787,0,171,1069,17722,4717,22,215,0,0,12158,610,9570,1198,10171,3024,29.73%,629,39,463,283,19,162,481,51,496,130,69,202,N/A,N/A,N/A,N/A,0,N/A,N/A,*,6,N/A,N/A,23.08%,0,9351,0.00%,251,9351,2.68%,1260,N/A,1209,1,488,739.5,1041
75042,Dallas County,Dallas County,39230,11703,13059,13004,13611,12863,12848,17952,7917,3637,21,4735,5,124,1513,22233,6565,94,26,0,0,14030,1518,11548,1288,12863,5306,41.25%,897,120,1012,397,67,397,743,286,701,487,16,183,N/A,N/A,N/A,N/A,0,N/A,N/A,*,3,N/A,N/A,11.54%,0,12848,0.00%,357,12848,2.78%,1551,N/A,824,1,517,723.25,1012
75043,Dallas County,Dallas County,59179,15766,15045,15542,15698,15846,15579,42715,22674,13719,222,4228,110,371,1391,15405,6235,245,109,157,47,7893,719,20373,2089,15846,2734,17.25%,365,28,503,183,84,131,340,33,663,220,76,108,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,1,15579,0.01%,713,15579,4.58%,751,N/A,1090,1381,976,1049.5,1469
75044,Collin County,Collin County;Dallas County,41222,9788,9893,10219,10225,10011,10027,33307,19418,4373,36,7324,16,29,2111,8271,3231,57,20,0,0,4028,935,14872,1318,10011,1851,18.49%,145,18,347,201,9,145,231,106,263,156,148,82,N/A,N/A,N/A,N/A,0,N/A,N/A,*,1,N/A,N/A,3.85%,2,10027,0.02%,209,10027,2.08%,802,N/A,467,1533,360,790.5,1110
75044,Dallas County,Collin County;Dallas County,41222,9788,9893,10219,10225,10011,10027,33307,19418,4373,36,7324,16,29,2111,8271,3231,57,20,0,0,4028,935,14872,1318,10011,1851,18.49%,145,18,347,201,9,145,231,106,263,156,148,82,N/A,N/A,N/A,N/A,0,N/A,N/A,*,1,N/A,N/A,3.85%,2,10027,0.02%,209,10027,2.08%,802,N/A,467,1533,360,790.5,1110
75048,Collin County,Collin County;Dallas County,21790,6090,5425,5894,5763,5835,5801,17312,12803,1929,0,2319,0,22,239,3618,2538,157,0,0,0,649,274,7120,505,5835,370,6.34%,84,0,74,107,0,0,0,0,70,35,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,*,2,N/A,N/A,7.69%,1,5801,0.02%,155,5801,2.67%,322,N/A,684,1533,484,755.75,1066
75048,Dallas County,Collin County;Dallas County,21790,6090,5425,5894,5763,5835,5801,17312,12803,1929,0,2319,0,22,239,3618,2538,157,0,0,0,649,274,7120,505,5835,370,6.34%,84,0,74,107,0,0,0,0,70,35,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,*,2,N/A,N/A,7.69%,1,5801,0.02%,155,5801,2.67%,322,N/A,684,1533,484,755.75,1066
75050,Dallas County,Dallas County;Tarrant County,40819,11807,10602,10477,11132,11120,11028,19102,12508,4956,119,1009,9,163,338,21550,16736,226,34,0,0,4071,483,14689,1570,11120,3655,32.87%,678,148,685,244,102,129,470,94,664,253,88,100,N/A,N/A,N/A,N/A,0,N/A,N/A,17,10,N/A,N/A,38.46%,2,11028,0.02%,646,11028,5.86%,1353,N/A,1575,1533,1249,1427.5,1831
75050,Tarrant County,Dallas County;Tarrant County,40819,11807,10602,10477,11132,11120,11028,19102,12508,4956,119,1009,9,163,338,21550,16736,226,34,0,0,4071,483,14689,1570,11120,3655,32.87%,678,148,685,244,102,129,470,94,664,253,88,100,N/A,N/A,N/A,N/A,0,N/A,N/A,17,10,N/A,N/A,38.46%,2,11028,0.02%,646,11028,5.86%,1353,N/A,1575,1533,1249,1427.5,1831
75051,Dallas County,Dallas County;Tarrant County,42546,12894,12653,13500,13379,13421,13169,17506,9682,6543,54,927,0,0,300,23839,18378,281,218,5,0,4670,287,12771,1625,13421,4651,34.65%,697,165,743,506,148,158,728,76,736,344,84,266,N/A,N/A,N/A,N/A,0,N/A,N/A,18,7,N/A,N/A,26.92%,2,13169,0.02%,720,13169,5.47%,1389,N/A,1308,1533,1168,1349.5,1751
75051,Tarrant County,Dallas County;Tarrant County,42546,12894,12653,13500,13379,13421,13169,17506,9682,6543,54,927,0,0,300,23839,18378,281,218,5,0,4670,287,12771,1625,13421,4651,34.65%,697,165,743,506,148,158,728,76,736,344,84,266,N/A,N/A,N/A,N/A,0,N/A,N/A,18,7,N/A,N/A,26.92%,2,13169,0.02%,720,13169,5.47%,1389,N/A,1308,1533,1168,1349.5,1751
75052,Dallas County,Dallas County;Tarrant County,90611,27626,27198,27903,27720,27187,27527,58503,25670,22617,315,8543,0,213,1145,31240,24337,493,70,11,0,5784,545,28068,2847,27187,3572,13.14%,391,63,661,373,110,142,542,69,519,368,107,227,N/A,N/A,N/A,N/A,0,N/A,N/A,33,12,N/A,N/A,46.15%,1,27527,0.00%,1007,27527,3.66%,579,N/A,1705,1,714,749.75,1055
75052,Tarrant County,Dallas County;Tarrant County,90611,27626,27198,27903,27720,27187,27527,58503,25670,22617,315,8543,0,213,1145,31240,24337,493,70,11,0,5784,545,28068,2847,27187,3572,13.14%,391,63,661,373,110,142,542,69,519,368,107,227,N/A,N/A,N/A,N/A,0,N/A,N/A,33,12,N/A,N/A,46.15%,1,27527,0.00%,1007,27527,3.66%,579,N/A,1705,1,714,749.75,1055
75054,Dallas County,Dallas County;Tarrant County,6919,1757,1599,1855,2141,2247,1920,5148,2342,1909,58,630,0,31,178,1108,664,18,0,0,0,345,81,1944,138,2247,170,7.57%,38,0,46,0,0,13,0,0,25,13,0,35,N/A,N/A,N/A,N/A,0,N/A,N/A,*,1,N/A,N/A,3.85%,0,1920,0.00%,45,1920,2.34%,370,N/A,467,1,411,312.25,295
75054,Tarrant County,Dallas County;Tarrant County,6919,1757,1599,1855,2141,2247,1920,5148,2342,1909,58,630,0,31,178,1108,664,18,0,0,0,345,81,1944,138,2247,170,7.57%,38,0,46,0,0,13,0,0,25,13,0,35,N/A,N/A,N/A,N/A,0,N/A,N/A,*,1,N/A,N/A,3.85%,0,1920,0.00%,45,1920,2.34%,370,N/A,467,1,411,312.25,295
75056,Denton County,Denton County,51534,13575,13271,13695,13157,14048,13549,40925,30915,2522,213,6084,6,104,1081,8589,6147,259,16,73,0,1136,958,17847,1163,14048,1042,7.42%,141,29,278,139,0,57,231,22,94,9,24,18,22,15,1,1561,0,1599,1.44%,26,7,N/A,N/A,26.92%,1,13549,0.01%,267,13549,1.97%,367,920,1308,1381,337,862.6,1209
75057,Denton County,Denton County,13800,3441,3231,3490,3619,3484,3453,7749,5446,1039,48,445,34,72,665,6000,4986,7,0,0,0,252,755,4991,519,3484,904,25.95%,153,8,236,37,14,25,181,16,146,48,14,26,0,0,35,396,14,431,8.12%,*,3,N/A,N/A,11.54%,0,3453,0.00%,133,3453,3.85%,1112,1340,824,1,774,810.2,1148
75058,Grayson County,Grayson County,3286,842,911,860,866,932,882,2688,2581,19,0,14,36,0,38,550,383,0,0,0,0,136,31,1011,46,932,185,19.85%,7,12,71,8,0,0,65,0,18,0,0,4,0,2,0,123,0,125,0.00%,0,N/A,N/A,N/A,N/A,0,882,0.00%,28,882,3.17%,858,1,N/A,1,596,364,373
75060,Dallas County,Dallas County,47608,13933,14542,15135,14838,15103,14710,20499,15127,2242,51,2564,0,172,343,25910,17837,263,501,29,0,6701,579,14576,1563,15103,4066,26.92%,380,73,1009,555,120,142,478,145,609,264,111,180,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,2,14710,0.01%,501,14710,3.41%,1156,N/A,1090,1381,652,1069.75,1494
75061,Dallas County,Dallas County,53303,15842,16141,16379,16378,16296,16207,19484,12412,4720,43,1839,0,93,377,33749,21705,270,220,6,0,11114,434,17391,1620,16296,4934,30.28%,875,147,948,364,112,167,912,93,764,249,100,203,N/A,N/A,N/A,N/A,0,N/A,N/A,*,7,N/A,N/A,26.92%,4,16207,0.02%,551,16207,3.40%,1277,N/A,1308,1533,649,1191.75,1619
75062,Dallas County,Dallas County,46469,11808,11630,11941,11959,12134,11894,26503,16004,6023,74,3371,51,154,826,19697,14592,30,12,25,0,4395,643,16441,1104,12134,2974,24.51%,576,66,350,182,109,105,560,91,489,225,107,114,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,5,11894,0.04%,444,11894,3.73%,1055,N/A,1090,1736,744,1156.25,1581
75063,Dallas County,Dallas County,36670,8456,8808,8326,8957,9118,8733,33258,11741,6209,148,13827,16,202,1115,3167,2351,95,64,60,0,413,184,15502,1120,9118,682,7.48%,48,6,72,46,0,60,92,21,193,88,19,37,N/A,N/A,N/A,N/A,4,N/A,N/A,*,3,N/A,N/A,11.54%,1,8733,0.01%,116,8733,1.33%,369,N/A,824,1381,219,698.25,977
75065,Denton County,Denton County,11369,2960,3001,2754,2592,2806,2823,9372,8433,204,35,300,0,4,396,1661,1412,32,0,0,0,92,125,4073,198,2806,58,2.07%,0,0,11,5,0,6,0,0,24,0,0,12,0,21,7,116,0,144,4.86%,*,3,N/A,N/A,11.54%,0,2823,0.00%,100,2823,3.54%,186,1165,824,1,691,573.4,723
75067,Dallas County,Dallas County;Denton County,63167,15657,16007,16113,16203,16480,16092,42773,29550,5766,53,5190,24,10,2180,19043,14965,393,0,23,0,1866,1796,24308,2402,16480,2940,17.84%,638,171,559,133,30,95,491,106,520,137,41,19,N/A,N/A,N/A,N/A,0,N/A,N/A,21,5,N/A,N/A,19.23%,0,16092,0.00%,522,16092,3.24%,780,N/A,1090,1,612,620.75,806
75067,Denton County,Dallas County;Denton County,63167,15657,16007,16113,16203,16480,16092,42773,29550,5766,53,5190,24,10,2180,19043,14965,393,0,23,0,1866,1796,24308,2402,16480,2940,17.84%,638,171,559,133,30,95,491,106,520,137,41,19,N/A,N/A,N/A,N/A,0,N/A,N/A,21,5,N/A,N/A,19.23%,0,16092,0.00%,522,16092,3.24%,780,N/A,1090,1,612,620.75,806
75068,Denton County,Denton County,42162,11714,11456,12380,12899,13872,12464,30028,21300,5704,93,1243,8,636,1044,8922,7380,0,294,42,0,786,420,12266,1225,13872,1561,11.25%,166,33,368,46,36,81,206,93,417,99,0,16,0,0,0,860,0,860,0.00%,15,5,N/A,N/A,19.23%,1,12464,0.01%,343,12464,2.75%,513,1,1090,1381,507,698.4,978
75069,Collin County,Collin County,35321,9108,9012,9135,9065,9408,9146,22294,18315,3080,29,396,0,170,304,12177,10589,94,13,6,0,1361,114,12376,996,9408,2449,26.03%,431,85,288,342,0,424,334,58,256,126,61,44,19,19,95,1065,77,1198,9.52%,*,5,N/A,N/A,19.23%,1,9146,0.01%,465,9146,5.08%,1116,1382,1090,1381,1093,1212.4,1635
75070,Collin County,Collin County,82195,24276,23152,24406,25927,26594,24871,69271,55060,7265,344,4901,10,182,1509,9566,8019,310,0,37,18,596,586,25818,1907,26594,1520,5.72%,296,45,189,104,36,146,150,27,194,178,6,149,8,0,33,2496,0,2537,1.62%,10,6,N/A,N/A,23.08%,0,24871,0.00%,476,24871,1.91%,300,936,1209,1,325,554.2,681
75071,Collin County,Collin County,41096,11455,10586,10954,11234,11841,11214,32540,25748,5025,90,1198,0,33,446,6271,5678,18,27,0,0,401,147,12719,712,11841,550,4.64%,104,51,85,61,24,108,4,0,23,49,33,8,0,0,0,1325,0,1325,0.00%,13,6,N/A,N/A,23.08%,0,11214,0.00%,377,11214,3.36%,258,1,1209,1,640,421.8,456
75074,Collin County,Collin County,47436,12332,12212,12733,12795,12532,12521,29704,19402,4549,74,4882,48,40,709,16902,14419,60,168,0,0,1678,577,15365,1226,12532,2813,22.45%,459,134,497,243,13,55,450,60,393,119,133,257,0,33,10,1248,0,1291,0.77%,11,11,N/A,N/A,42.31%,1,12521,0.01%,541,12521,4.32%,965,875,1648,1381,905,1154.8,1579
75075,Collin County,Collin County,34345,7289,7202,7275,7602,7683,7410,28651,22916,1913,89,2931,22,2,778,5233,4551,13,0,24,0,348,297,13123,634,7683,704,9.16%,85,21,92,95,0,8,132,45,77,87,0,62,N/A,N/A,N/A,N/A,0,N/A,N/A,*,3,N/A,N/A,11.54%,0,7410,0.00%,226,7410,3.05%,419,N/A,824,1,564,452,495
75076,Grayson County,Grayson County,7327,1393,1426,1437,1473,1306,1407,7111,6768,69,149,26,0,0,99,430,334,0,0,0,0,45,51,3149,154,1306,252,19.30%,0,5,47,21,26,25,33,0,23,57,0,15,2,0,0,157,0,159,1.26%,11,5,N/A,N/A,19.23%,0,1407,0.00%,98,1407,6.97%,833,907,1090,1,1462,858.6,1206
